BOMCode,MachineModel,Version,ItemCode,ItemName,SubAssemblyTag,QtyPerMachine,Unit,ScrapPercent,EstHoursPerUnit
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,1000110100,TOGGLE TYPE LOCKING UNIT-90 TON,90-280,1.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,1000210100,GUIDE ROD TYPE INJECTION UNIT-280,90-280,1.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,3000000100,BASE FRAME ASSY - 90TON  (280/420),90-280,1.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,3000000200,"INJECTION FRAME ASSY - 90-280 
(GUIDE ROD TYPE)",90-280,1.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,2000300300,SCREW BARREL ASSY - 40-280,90-280,1.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,2000300400,OIL TANK ASSY - 90 TON - 250LTR,90-280,1.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,2000300500,SAFETY DOOR ASSY - 90,90-280,1.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,2000300600,BASE FRAME GUARD SET - 90-280,90-280,1.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,2000300700,SEAMLESS PIPE SET - 90-280,90-280,1.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,2000300800,HEAT EXCHANGER ASSY - 90 TON,90-280,1.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,2000300900,HOPPER ASSY - 25KG,90-280,1.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,7000100100,FASTENER KIT MAIN MACHINE - 90-280,90-280,1.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,7000200100,NIPPLE KIT - 90-280,90-280,1.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,7000300100,HOSE PIPE KIT - 90-280,90-280,1.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,7000400100,LUBR PUMP SYSTEM,90-280,1.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,3000000400,SERVO PUMP HOSE NIPPLE ASSY - 64 LTR,90-280,1.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,3000000500,PLC BOX FB ASSY - B&R,90-280,1.0,NOS,0.0,0.5
