BOM Code,Machine Model / Assembly Name,Version,Sub-Assembly Block,Item / Part Code,Old Item Code,Item Description,Category,BOM Qty Per Machine,Unit,Lead Time Days,Scrap %,Estimated Assembly Hours
BOM-GEC-0001,PATTERN-90-280,Rev 1.0,PATTERN-90-280,4005000100,-,STATIONARY PLATE TOGGLE - 90 TON (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0001,PATTERN-90-280,Rev 1.0,PATTERN-90-280,4005001200,-,MOVING PLATE TOGGLE - 90 TON (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0001,PATTERN-90-280,Rev 1.0,PATTERN-90-280,4005002300,-,END PLATE - 90 TON (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0001,PATTERN-90-280,Rev 1.0,PATTERN-90-280,4005003600,-,CROSSHEAD - 90 TON (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0001,PATTERN-90-280,Rev 1.0,PATTERN-90-280,4005004200,-,CROSSHEAD LINK - 90 TON (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0001,PATTERN-90-280,Rev 1.0,PATTERN-90-280,4005004800,-,BINARY LINK - 90 TON (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0001,PATTERN-90-280,Rev 1.0,PATTERN-90-280,4005005400,-,TERNARY LINK - 90 TON (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0001,PATTERN-90-280,Rev 1.0,PATTERN-90-280,4005006300,-,SUN GEAR - 90 TON (MODULE-3 TEETH-159) (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0001,PATTERN-90-280,Rev 1.0,PATTERN-90-280,4005006900,-,GEAR NUT RETAINER - 90 TON (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0001,PATTERN-90-280,Rev 1.0,PATTERN-90-280,4005007500,-,DIE HEIGHT MOTOR MTG BRACKET - 90 TON (PATTERN),PTN,1.0,NOS,25,0,2.5
