ItemCode,InHouseStock,ExternalStock,Location,UnitPrice,MinStockQty
1000310100,2,0,Final Assembly Bay,185000,1
1000310400,2,0,Final Assembly Bay,210000,1
1000110100,5,0,Sub-Assembly Section,12500,1
1000210100,5,0,Sub-Assembly Section,12500,1
2000210100,5,0,Sub-Assembly Section,12500,1
2000210200,5,0,Sub-Assembly Section,12500,1
2000300100,5,0,Sub-Assembly Section,12500,1
2000300200,5,0,Sub-Assembly Section,12500,1
2000300300,5,0,Sub-Assembly Section,12500,1
4001000100,50,0,Raw Material Yard,1200,10
4001001200,50,0,Raw Material Yard,1200,10
4001002300,50,0,Raw Material Yard,1200,10
4001003600,50,0,Raw Material Yard,1200,10
4001004200,50,0,Raw Material Yard,1200,10
4001004800,50,0,Raw Material Yard,1200,10
4001005400,50,0,Raw Material Yard,1200,10
4001006300,50,0,Raw Material Yard,1200,10
4001006900,50,0,Raw Material Yard,1200,10
4001007500,50,0,Raw Material Yard,1200,10
4001009600,50,0,Raw Material Yard,1200,10
4001011200,50,0,Raw Material Yard,1200,10
4001012500,50,0,Raw Material Yard,1200,10
4001013300,50,0,Raw Material Yard,1200,10
4001013500,50,0,Raw Material Yard,1200,10
4001013600,50,0,Raw Material Yard,1200,10
3000000100,2,0,Final Assembly Bay,185000,1
3000000200,2,0,Final Assembly Bay,185000,1
2000300400,5,0,Sub-Assembly Section,12500,1
2000300500,5,0,Sub-Assembly Section,12500,1
2000300600,5,0,Sub-Assembly Section,12500,1
2000300700,5,0,Sub-Assembly Section,12500,1
2000300800,5,0,Sub-Assembly Section,12500,1
2000300900,5,0,Sub-Assembly Section,12500,1
7000100100,5,0,Sub-Assembly Section,12500,1
7000200100,5,0,Sub-Assembly Section,12500,1
7000300100,5,0,Sub-Assembly Section,12500,1
7000400100,5,0,Sub-Assembly Section,12500,1
3000000400,2,0,Final Assembly Bay,185000,1
3000000500,2,0,Final Assembly Bay,185000,1
3000000600,2,0,Final Assembly Bay,185000,1
3000000700,2,0,Final Assembly Bay,185000,1
3000000800,2,0,Final Assembly Bay,185000,1
3000000900,2,0,Final Assembly Bay,185000,1
3000001000,2,0,Final Assembly Bay,185000,1
4110006500,15,0,Machine Shop Bay,2400,3
4110006600,15,0,Machine Shop Bay,2400,3
4110006700,15,0,Machine Shop Bay,2400,3
4110006800,15,0,Machine Shop Bay,2400,3
4110006900,15,0,Machine Shop Bay,2400,3
4110007000,15,0,Machine Shop Bay,2400,3
