Item Code,Part Code,Old Item Code,Item Description,Category,In-House Physical Stock,External Vendor Stock,Total Current Stock,Min Safety Stock Qty,Min Order Qty,Lead Time Days,Warehouse Location,Standard Valuation Rate (INR),Total Stock Asset Value (INR),QC Trigger
7910300100,7910300100,,ANTI VIBRATION RUBBER PAD - Ø125,BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
6160100800,6160100800,,DIRECTION CONTROL VALVE - 4 WEH 16 E7,BO,10,0,10,5,1,12,Hydraulics Bay H-01,14500,145000,ON_GRN
6160101000,6160101000,,DIRECTION CONTROL VALVE - 4 WEH 16 EA,BO,10,0,10,5,1,12,Hydraulics Bay H-01,14500,145000,ON_GRN
6160100900,6160100900,,DIRECTION CONTROL VALVE - 4 WEH 16 L7,BO,10,0,10,5,1,12,Hydraulics Bay H-01,14500,145000,ON_GRN
6160100300,6160100300,,DSG-01-2B2B-D24 (YUKEN),BO,10,0,10,5,1,12,Hydraulics Bay H-01,14500,145000,ON_GRN
6160100100,6160100100,D-10001,DSG-01-3C2-D24 (YUKEN),BO,10,0,10,5,1,12,Hydraulics Bay H-01,14500,145000,ON_GRN
6160100200,6160100200,D-10002,DSG-01-3C4-D24 (YUKEN),BO,10,0,10,5,1,12,Hydraulics Bay H-01,14500,145000,ON_GRN
6160100700,6160100700,,DSG-03-2B10B-D24 (YUKEN),BO,10,0,10,5,1,12,Hydraulics Bay H-01,14500,145000,ON_GRN
6160100600,6160100600,D-10006,DSG-03-3C12-D24 (YUKEN),BO,10,0,10,5,1,12,Hydraulics Bay H-01,14500,145000,ON_GRN
6160100400,6160100400,D-10003,DSG-03-3C2-D24 (YUKEN),BO,10,0,10,5,1,12,Hydraulics Bay H-01,14500,145000,ON_GRN
7220100100,7220100100,G-10051,DU BUSH - 30 X 34 X 25 LG,BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
7220100200,7220100200,G-10057,DU BUSH - 60 X 65 X 60 LG,BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
7220100300,7220100300,G-10058,DU BUSH - 70 X 75 X 70 LG,BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
7000102400,7000102400,,FASTENER KIT BARREL PLATE ASSY - 1520,BO,10,0,10,5,1,14,Sub-Assembly Area,85000,850000,DURING_ASSEMBLY
