ItemCode,InHouseStock,ExternalStock,Location,UnitPrice,MinStockQty
1000310100,2,0,Sub-Assembly Area,1500000,1
1000310400,1,0,Sub-Assembly Area,1800000,1
1000110100,3,0,Sub-Assembly Area,450000,1
1000110200,2,0,Sub-Assembly Area,520000,1
1000210100,3,0,Sub-Assembly Area,380000,1
1000210200,2,0,Sub-Assembly Area,440000,1
4005000100,5,0,Raw Materials Store,1200,2
4005000200,5,0,Raw Materials Store,1200,2
4005001200,5,0,Raw Materials Store,1200,2
4005001300,5,0,Raw Materials Store,1200,2
4005002300,5,0,Raw Materials Store,1200,2
4005002400,5,0,Raw Materials Store,1200,2
4005003600,5,0,Raw Materials Store,1200,2
4005003700,5,0,Raw Materials Store,1200,2
4005004200,5,0,Raw Materials Store,1200,2
4005004300,5,0,Raw Materials Store,1200,2
4005004800,5,0,Raw Materials Store,1200,2
4005004900,5,0,Raw Materials Store,1200,2
4005005400,5,0,Raw Materials Store,1200,2
4005005500,5,0,Raw Materials Store,1200,2
4005006300,5,0,Raw Materials Store,1200,2
4005006400,5,0,Raw Materials Store,1200,2
4005006900,5,0,Raw Materials Store,1200,2
4005007000,5,0,Raw Materials Store,1200,2
4005007500,5,0,Raw Materials Store,1200,2
4005009600,5,0,Raw Materials Store,1200,2
4005009800,5,0,Raw Materials Store,1200,2
4005011200,5,0,Raw Materials Store,1200,2
4005012500,5,0,Raw Materials Store,1200,2
4005013300,5,0,Raw Materials Store,1200,2
4005002900,5,0,Raw Materials Store,1200,2
4005013500,5,0,Raw Materials Store,1200,2
4005013600,5,0,Raw Materials Store,1200,2
4001000100,5,0,Raw Materials Store,1200,2
4001000200,5,0,Raw Materials Store,1200,2
4001001200,5,0,Raw Materials Store,1200,2
4001001300,5,0,Raw Materials Store,1200,2
4001002300,5,0,Raw Materials Store,1200,2
4001002400,5,0,Raw Materials Store,1200,2
4001003600,5,0,Raw Materials Store,1200,2
4001003700,5,0,Raw Materials Store,1200,2
4001004200,5,0,Raw Materials Store,1200,2
4001004300,5,0,Raw Materials Store,1200,2
4001004800,5,0,Raw Materials Store,1200,2
4001004900,5,0,Raw Materials Store,1200,2
4001005400,5,0,Raw Materials Store,1200,2
4001005500,5,0,Raw Materials Store,1200,2
4001006300,5,0,Raw Materials Store,1200,2
4001006400,5,0,Raw Materials Store,1200,2
4001006900,5,0,Raw Materials Store,1200,2
4001007000,5,0,Raw Materials Store,1200,2
4001007500,5,0,Raw Materials Store,1200,2
4001009600,5,0,Raw Materials Store,1200,2
4001009800,5,0,Raw Materials Store,1200,2
4001011200,5,0,Raw Materials Store,1200,2
4001012500,5,0,Raw Materials Store,1200,2
4001013300,5,0,Raw Materials Store,1200,2
4001002900,5,0,Raw Materials Store,1200,2
4001013500,5,0,Raw Materials Store,1200,2
4001013600,5,0,Raw Materials Store,1200,2
3000000100,5,0,Sub-Assembly Area,1200,2
3000001900,5,0,Sub-Assembly Area,1200,2
3000000200,5,0,Sub-Assembly Area,1200,2
3000002100,5,0,Sub-Assembly Area,1200,2
2000300300,5,0,Sub-Assembly Area,1200,2
2000301100,5,0,Sub-Assembly Area,1200,2
2000300400,5,0,Sub-Assembly Area,1200,2
2000301300,5,0,Sub-Assembly Area,1200,2
2000300500,5,0,Sub-Assembly Area,1200,2
2000301400,5,0,Sub-Assembly Area,1200,2
2000300600,5,0,Sub-Assembly Area,1200,2
2000301500,5,0,Sub-Assembly Area,1200,2
2000300700,5,0,Sub-Assembly Area,1200,2
2000301600,5,0,Sub-Assembly Area,1200,2
2000300800,5,0,Sub-Assembly Area,1200,2
2000300900,5,0,Sub-Assembly Area,1200,2
7000100100,5,0,Sub-Assembly Area,1200,2
7000100600,5,0,Sub-Assembly Area,1200,2
7000200100,5,0,Sub-Assembly Area,1200,2
7000200200,5,0,Sub-Assembly Area,1200,2
7000300100,5,0,Sub-Assembly Area,1200,2
7000300200,5,0,Sub-Assembly Area,1200,2
7000400100,5,0,Sub-Assembly Area,1200,2
3000000400,5,0,Sub-Assembly Area,1200,2
3000000500,5,0,Sub-Assembly Area,1200,2
3000000600,5,0,Sub-Assembly Area,1200,2
3000000700,5,0,Sub-Assembly Area,1200,2
3000000800,5,0,Sub-Assembly Area,1200,2
3000000900,5,0,Sub-Assembly Area,1200,2
3000002300,5,0,Sub-Assembly Area,1200,2
3000001000,5,0,Sub-Assembly Area,1200,2
3000002400,5,0,Sub-Assembly Area,1200,2
4110006500,5,0,Sub-Assembly Area,1200,2
4110006600,5,0,Sub-Assembly Area,1200,2
4110006700,5,0,Sub-Assembly Area,1200,2
4110006800,5,0,Sub-Assembly Area,1200,2
4110006900,5,0,Sub-Assembly Area,1200,2
4110012600,5,0,Sub-Assembly Area,1200,2
4110007000,5,0,Sub-Assembly Area,1200,2
4110012700,5,0,Sub-Assembly Area,1200,2
4110007100,5,0,Sub-Assembly Area,1200,2
4110007200,5,0,Sub-Assembly Area,1200,2
4110007300,5,0,Sub-Assembly Area,1200,2
4110007400,5,0,Sub-Assembly Area,1200,2
4110007500,5,0,Sub-Assembly Area,1200,2
4110007600,5,0,Sub-Assembly Area,1200,2
4110007700,5,0,Sub-Assembly Area,1200,2
4110007800,5,0,Sub-Assembly Area,1200,2
4110012800,5,0,Sub-Assembly Area,1200,2
4110007900,5,0,Sub-Assembly Area,1200,2
4110008000,5,0,Sub-Assembly Area,1200,2
4110012900,5,0,Sub-Assembly Area,1200,2
4110008100,5,0,Sub-Assembly Area,1200,2
4110013000,5,0,Sub-Assembly Area,1200,2
4110008200,5,0,Sub-Assembly Area,1200,2
3130800100,5,0,Sub-Assembly Area,1200,2
3130800200,5,0,Sub-Assembly Area,1200,2
3130800300,5,0,Sub-Assembly Area,1200,2
3131100100,5,0,Sub-Assembly Area,1200,2
3131100200,5,0,Sub-Assembly Area,1200,2
3131100300,5,0,Sub-Assembly Area,1200,2
3131100400,5,0,Sub-Assembly Area,1200,2
3131100500,5,0,Sub-Assembly Area,1200,2
3131100600,5,0,Sub-Assembly Area,1200,2
3131100700,5,0,Sub-Assembly Area,1200,2
3131100800,5,0,Sub-Assembly Area,1200,2
3131100900,5,0,Sub-Assembly Area,1200,2
3131101000,5,0,Sub-Assembly Area,1200,2
3131101400,5,0,Sub-Assembly Area,1200,2
3131101100,5,0,Sub-Assembly Area,1200,2
3131101200,5,0,Sub-Assembly Area,1200,2
3131101300,5,0,Sub-Assembly Area,1200,2
3131300100,5,0,Sub-Assembly Area,1200,2
3131300200,5,0,Sub-Assembly Area,1200,2
6160100100,5,0,Bought-out Bay,1200,2
6160100200,5,0,Bought-out Bay,1200,2
6160100300,5,0,Bought-out Bay,1200,2
6160100400,5,0,Bought-out Bay,1200,2
6160100500,5,0,Bought-out Bay,1200,2
6170100100,5,0,Bought-out Bay,1200,2
6170100200,5,0,Bought-out Bay,1200,2
6180100100,5,0,Bought-out Bay,1200,2
6180200100,5,0,Bought-out Bay,1200,2
6190100200,5,0,Bought-out Bay,1200,2
6190100100,5,0,Bought-out Bay,1200,2
6240100100,5,0,Bought-out Bay,1200,2
6010400100,5,0,Bought-out Bay,1200,2
6020100100,5,0,Bought-out Bay,1200,2
6030100100,5,0,Bought-out Bay,1200,2
6030100200,5,0,Sub-Assembly Area,1200,2
6210100100,5,0,Bought-out Bay,1200,2
6210100200,5,0,Sub-Assembly Area,1200,2
6210100175,5,0,Bought-out Bay,1200,2
6210100350,5,0,Sub-Assembly Area,1200,2
6220100100,5,0,Bought-out Bay,1200,2
6220200100,5,0,Bought-out Bay,1200,2
7340100100,5,0,Bought-out Bay,1200,2
7340100200,5,0,Bought-out Bay,1200,2
6150100100,5,0,Bought-out Bay,1200,2
6150100200,5,0,Sub-Assembly Area,1200,2
6150200100,5,0,Bought-out Bay,1200,2
6150200200,5,0,Sub-Assembly Area,1200,2
6150300100,5,0,Bought-out Bay,1200,2
6150300200,5,0,Sub-Assembly Area,1200,2
6150400100,5,0,Bought-out Bay,1200,2
6141100100,5,0,Bought-out Bay,1200,2
6141200100,5,0,Bought-out Bay,1200,2
7330200100,5,0,Bought-out Bay,1200,2
7910500100,5,0,Bought-out Bay,1200,2
7910300100,5,0,Bought-out Bay,1200,2
2000110100,5,0,Sub-Assembly Area,1200,2
2000110300,5,0,Sub-Assembly Area,1200,2
2000110200,5,0,Sub-Assembly Area,1200,2
2000110400,5,0,Sub-Assembly Area,1200,2
7000100200,5,0,Sub-Assembly Area,1200,2
7000100700,5,0,Sub-Assembly Area,1200,2
4110000100,5,0,Sub-Assembly Area,1200,2
4110008700,5,0,Sub-Assembly Area,1200,2
4110000200,5,0,Sub-Assembly Area,1200,2
4110008800,5,0,Sub-Assembly Area,1200,2
