ItemCode,PartCode,OldItemCode,ItemName,Category,MaterialProcessSources,Unit,PurchaseUOM,ConversionFactor,InHouseStock,ExternalStock,MinStockQty,MinOrderQty,UnitPrice,LeadTimeDays,Location,QCTrigger,TestReportRequired,WeightKg,Specification
1000310100,10000,10000,NEO PRIME 90 - 280 TON (INJECTION UNIT GUIDE ROD TYPE),FAS,In-house,NOS,NOS,1,2,0,1,1,1500000,7,Sub-Assembly Area,MANDATORY,YES,1.0,Standard FAS specification
1000310400,10001,10001,NEO PRIME 110 - 420 TON (INJECTION UNIT GUIDE ROD TYPE),FAS,In-house,NOS,NOS,1,1,0,1,1,1800000,7,Sub-Assembly Area,MANDATORY,YES,1.0,Standard FAS specification
1000110100,B-10138,B-10138,TOGGLE TYPE LOCKING UNIT-90 TON,AS,In-house,NOS,NOS,1,3,0,1,1,450000,7,Sub-Assembly Area,NONE,NO,1.0,Standard AS specification
1000110200,B-10140,B-10140,TOGGLE TYPE LOCKING UNIT-110 TON,AS,In-house,NOS,NOS,1,2,0,1,1,520000,7,Sub-Assembly Area,NONE,NO,1.0,Standard AS specification
1000210100,B-10025,B-10025,GUIDE ROD TYPE INJECTION UNIT-280,AS,In-house,NOS,NOS,1,3,0,1,1,380000,7,Sub-Assembly Area,NONE,NO,1.0,Standard AS specification
1000210200,B-10026,B-10026,GUIDE ROD TYPE INJECTION UNIT-420,AS,In-house,NOS,NOS,1,2,0,1,1,440000,7,Sub-Assembly Area,NONE,NO,1.0,Standard AS specification
4005000100,,,STATIONARY PLATE TOGGLE - 90 TON (PATTERN),PTN,Bought-out,NOS,NOS,1,5,0,2,2,1200,7,Raw Materials Store,NONE,NO,1.0,Standard PTN specification
4005000200,,,STATIONARY PLATE TOGGLE - 110 TON (PATTERN),PTN,Bought-out,NOS,NOS,1,5,0,2,2,1200,7,Raw Materials Store,NONE,NO,1.0,Standard PTN specification
4005001200,,,MOVING PLATE TOGGLE - 90 TON (PATTERN),PTN,Bought-out,NOS,NOS,1,5,0,2,2,1200,7,Raw Materials Store,NONE,NO,1.0,Standard PTN specification
4005001300,,,MOVING PLATE TOGGLE - 110 TON (PATTERN),PTN,Bought-out,NOS,NOS,1,5,0,2,2,1200,7,Raw Materials Store,NONE,NO,1.0,Standard PTN specification
4005002300,,,END PLATE - 90 TON (PATTERN),PTN,Bought-out,NOS,NOS,1,5,0,2,2,1200,7,Raw Materials Store,NONE,NO,1.0,Standard PTN specification
4005002400,,,END PLATE - 110 TON (PATTERN),PTN,Bought-out,NOS,NOS,1,5,0,2,2,1200,7,Raw Materials Store,NONE,NO,1.0,Standard PTN specification
4005003600,,,CROSSHEAD - 90 TON (PATTERN),PTN,Bought-out,NOS,NOS,1,5,0,2,2,1200,7,Raw Materials Store,NONE,NO,1.0,Standard PTN specification
4005003700,,,CROSSHEAD - 110 TON (PATTERN),PTN,Bought-out,NOS,NOS,1,5,0,2,2,1200,7,Raw Materials Store,NONE,NO,1.0,Standard PTN specification
4005004200,,,CROSSHEAD LINK - 90 TON (PATTERN),PTN,Bought-out,NOS,NOS,1,5,0,2,2,1200,7,Raw Materials Store,NONE,NO,1.0,Standard PTN specification
4005004300,,,CROSSHEAD LINK - 110 TON (PATTERN),PTN,Bought-out,NOS,NOS,1,5,0,2,2,1200,7,Raw Materials Store,NONE,NO,1.0,Standard PTN specification
4005004800,,,BINARY LINK - 90 TON (PATTERN),PTN,Bought-out,NOS,NOS,1,5,0,2,2,1200,7,Raw Materials Store,NONE,NO,1.0,Standard PTN specification
4005004900,,,BINARY LINK - 110 TON (PATTERN),PTN,Bought-out,NOS,NOS,1,5,0,2,2,1200,7,Raw Materials Store,NONE,NO,1.0,Standard PTN specification
4005005400,,,TERNARY LINK - 90 TON (PATTERN),PTN,Bought-out,NOS,NOS,1,5,0,2,2,1200,7,Raw Materials Store,NONE,NO,1.0,Standard PTN specification
4005005500,,,TERNARY LINK - 110 TON (PATTERN),PTN,Bought-out,NOS,NOS,1,5,0,2,2,1200,7,Raw Materials Store,NONE,NO,1.0,Standard PTN specification
4005006300,,,SUN GEAR - 90 TON (MODULE-3 TEETH-159) (PATTERN),PTN,Bought-out,NOS,NOS,1,5,0,2,2,1200,7,Raw Materials Store,NONE,NO,1.0,Standard PTN specification
4005006400,,,SUN GEAR - 110 TON (MODULE-3 TEETH-178) (PATTERN),PTN,Bought-out,NOS,NOS,1,5,0,2,2,1200,7,Raw Materials Store,NONE,NO,1.0,Standard PTN specification
4005006900,,,GEAR NUT RETAINER - 90 TON (PATTERN),PTN,Bought-out,NOS,NOS,1,5,0,2,2,1200,7,Raw Materials Store,NONE,NO,1.0,Standard PTN specification
4005007000,,,GEAR NUT RETAINER - 110 TON (PATTERN),PTN,Bought-out,NOS,NOS,1,5,0,2,2,1200,7,Raw Materials Store,NONE,NO,1.0,Standard PTN specification
4005007500,,,DIE HEIGHT MOTOR MTG BRACKET - 90 TON (PATTERN),PTN,Bought-out,NOS,NOS,1,5,0,2,2,1200,7,Raw Materials Store,NONE,NO,1.0,Standard PTN specification
4005009600,,,BARREL PLATE - 280 (STOCK-150) (PATTERN),PTN,Bought-out,NOS,NOS,1,5,0,2,2,1200,7,Raw Materials Store,NONE,NO,1.0,Standard PTN specification
4005009800,,,BARREL PLATE - 420 (STOCK-175) (PATTERN),PTN,Bought-out,NOS,NOS,1,5,0,2,2,1200,7,Raw Materials Store,NONE,NO,1.0,Standard PTN specification
4005011200,,,BEARING HOUSING - 280 (PATTERN),PTN,Bought-out,NOS,NOS,1,5,0,2,2,1200,7,Raw Materials Store,NONE,NO,1.0,Standard PTN specification
4005012500,,,INJ CYL ROD NUT RETAINER - 280 (PATTERN),PTN,Bought-out,NOS,NOS,1,5,0,2,2,1200,7,Raw Materials Store,NONE,NO,1.0,Standard PTN specification
4005013300,,,INJECTION GUIDE ROD SUPPORT ID Ø60 - 280 (PATTERN),PTN,Bought-out,NOS,NOS,1,5,0,2,2,1200,7,Raw Materials Store,NONE,NO,1.0,Standard PTN specification
4005002900,,,EJECTOR PLATE  TOGGLE - 90 TON (PATTERN),PTN,Bought-out,NOS,NOS,1,5,0,2,2,1200,7,Raw Materials Store,NONE,NO,1.0,Standard PTN specification
4005013500,,,HEAT EXCHANGER FRONT CAP - 90 TON (PATTERN),PTN,Bought-out,NOS,NOS,1,5,0,2,2,1200,7,Raw Materials Store,NONE,NO,1.0,Standard PTN specification
4005013600,,,HEAT EXCHANGER END CAP - 90 TON (PATTERN),PTN,Bought-out,NOS,NOS,1,5,0,2,2,1200,7,Raw Materials Store,NONE,NO,1.0,Standard PTN specification
4001000100,11201,11201,STATIONARY PLATE TOGGLE - 90 TON (CASTING),RM,Bought-out,NOS,NOS,1,5,0,2,2,1200,7,Raw Materials Store,MANDATORY,YES,1.0,Standard RM specification
4001000200,12201,12201,STATIONARY PLATE TOGGLE - 110 TON (CASTING),RM,Bought-out,NOS,NOS,1,5,0,2,2,1200,7,Raw Materials Store,MANDATORY,YES,1.0,Standard RM specification
4001001200,11202,11202,MOVING PLATE TOGGLE - 90 TON (CASTING),RM,Bought-out,NOS,NOS,1,5,0,2,2,1200,7,Raw Materials Store,MANDATORY,YES,1.0,Standard RM specification
4001001300,12202,12202,MOVING PLATE TOGGLE - 110 TON (CASTING),RM,Bought-out,NOS,NOS,1,5,0,2,2,1200,7,Raw Materials Store,MANDATORY,YES,1.0,Standard RM specification
4001002300,11203,11203,END PLATE - 90 TON (CASTING),RM,Bought-out,NOS,NOS,1,5,0,2,2,1200,7,Raw Materials Store,MANDATORY,YES,1.0,Standard RM specification
4001002400,12203,12203,END PLATE - 110 TON (CASTING),RM,Bought-out,NOS,NOS,1,5,0,2,2,1200,7,Raw Materials Store,MANDATORY,YES,1.0,Standard RM specification
4001003600,11204,11204,CROSS HEAD - 90 TON (CASTING),RM,Bought-out,NOS,NOS,1,5,0,2,2,1200,7,Raw Materials Store,MANDATORY,YES,1.0,Standard RM specification
4001003700,12204,12204,CROSS HEAD - 110 TON (CASTING),RM,Bought-out,NOS,NOS,1,5,0,2,2,1200,7,Raw Materials Store,MANDATORY,YES,1.0,Standard RM specification
4001004200,11207,11207,CROSS HEAD LINK - 90 TON (CASTING),RM,Bought-out,NOS,NOS,1,5,0,2,2,1200,7,Raw Materials Store,MANDATORY,YES,1.0,Standard RM specification
4001004300,12207,12207,CROSS HEAD LINK - 110 TON (CASTING),RM,Bought-out,NOS,NOS,1,5,0,2,2,1200,7,Raw Materials Store,MANDATORY,YES,1.0,Standard RM specification
4001004800,11205,11205,BINARY LINK - 90 TON (CASTING),RM,Bought-out,NOS,NOS,1,5,0,2,2,1200,7,Raw Materials Store,MANDATORY,YES,1.0,Standard RM specification
4001004900,12205,12205,BINARY LINK - 110 TON (CASTING),RM,Bought-out,NOS,NOS,1,5,0,2,2,1200,7,Raw Materials Store,MANDATORY,YES,1.0,Standard RM specification
4001005400,11206,11206,TERNARY LINK - 90 TON (CASTING),RM,Bought-out,NOS,NOS,1,5,0,2,2,1200,7,Raw Materials Store,MANDATORY,YES,1.0,Standard RM specification
4001005500,12206,12206,TERNARY LINK - 110 TON (CASTING),RM,Bought-out,NOS,NOS,1,5,0,2,2,1200,7,Raw Materials Store,MANDATORY,YES,1.0,Standard RM specification
4001006300,11208,11208,SUN GEAR - 90 TON (MODULE-3 TEETH-159) (CASTING),RM,Bought-out,NOS,NOS,1,5,0,2,2,1200,7,Raw Materials Store,MANDATORY,YES,1.0,Standard RM specification
4001006400,12208,12208,SUN GEAR - 110 TON (MODULE-3 TEETH-178) (CASTING),RM,Bought-out,NOS,NOS,1,5,0,2,2,1200,7,Raw Materials Store,MANDATORY,YES,1.0,Standard RM specification
4001006900,11210,11210,GEAR NUT RETAINER - 90 TON (CASTING),RM,Bought-out,NOS,NOS,1,5,0,2,2,1200,7,Raw Materials Store,MANDATORY,YES,1.0,Standard RM specification
4001007000,12209,12209,GEAR NUT RETAINER - 110 TON (CASTING),RM,Bought-out,NOS,NOS,1,5,0,2,2,1200,7,Raw Materials Store,MANDATORY,YES,1.0,Standard RM specification
4001007500,11209,11209,DIE HEIGHT MOTOR MTG BRACKET - 90 TON (CASTING),RM,Bought-out,NOS,NOS,1,5,0,2,2,1200,7,Raw Materials Store,MANDATORY,YES,1.0,Standard RM specification
4001009600,,,BARREL PLATE - 280 (STOCK-150) (CASTING),RM,Bought-out,NOS,NOS,1,5,0,2,2,1200,7,Raw Materials Store,MANDATORY,YES,1.0,Standard RM specification
4001009800,,,BARREL PLATE - 420 (STOCK-175) (CASTING),RM,Bought-out,NOS,NOS,1,5,0,2,2,1200,7,Raw Materials Store,MANDATORY,YES,1.0,Standard RM specification
4001011200,,,BEARING HOUSING - 280 (CASTING),RM,Bought-out,NOS,NOS,1,5,0,2,2,1200,7,Raw Materials Store,MANDATORY,YES,1.0,Standard RM specification
4001012500,,,INJECTION CYLINDER ROD NUT RETAINER - 280 (CASTING),RM,Bought-out,NOS,NOS,1,5,0,2,2,1200,7,Raw Materials Store,MANDATORY,YES,1.0,Standard RM specification
4001013300,,,INJECTION GUIDE ROD SUPPORT Ø60 - 280 (CASTING),RM,Bought-out,NOS,NOS,1,5,0,2,2,1200,7,Raw Materials Store,MANDATORY,YES,1.0,Standard RM specification
4001002900,,,EJECTOR PLATE  TOGGLE - 90 TON (CASTING),RM,Bought-out,NOS,NOS,1,5,0,2,2,1200,7,Raw Materials Store,MANDATORY,YES,1.0,Standard RM specification
4001013500,,,HEAT EXCHANGER FRONT CAP - 90 TON (CASTING),RM,Bought-out,NOS,NOS,1,5,0,2,2,1200,7,Raw Materials Store,MANDATORY,YES,1.0,Standard RM specification
4001013600,,,HEAT EXCHANGER END CAP - 90 TON (CASTING),RM,Bought-out,NOS,NOS,1,5,0,2,2,1200,7,Raw Materials Store,MANDATORY,YES,1.0,Standard RM specification
3000000100,A-10487,A-10487,BASE FRAME ASSY - 90TON  (280/420),FAS,In-house,NOS,NOS,1,5,0,2,2,1200,7,Sub-Assembly Area,MANDATORY,YES,1.0,Standard FAS specification
3000001900,A-10483,A-10483,BASE FRAME ASSY - 110TON  (280/420/635),BOM,In-house,NOS,NOS,1,5,0,2,2,1200,7,Sub-Assembly Area,NONE,NO,1.0,Standard BOM specification
3000000200,A-10001,A-10001,"INJECTION FRAME ASSY - 90-280 
(GUIDE ROD TYPE)",FAS,In-house,NOS,NOS,1,5,0,2,2,1200,7,Sub-Assembly Area,MANDATORY,YES,1.0,Standard FAS specification
3000002100,A-10004,A-10004,INJECTION FRAME ASSY - 110-420 (GUIDE ROD TYPE),FAS,In-house,NOS,NOS,1,5,0,2,2,1200,7,Sub-Assembly Area,MANDATORY,YES,1.0,Standard FAS specification
2000300300,B-10003,B-10003,SCREW BARREL ASSY - 40-280,AS,In-house,NOS,NOS,1,5,0,2,2,1200,7,Sub-Assembly Area,NONE,NO,1.0,Standard AS specification
2000301100,B-10005,B-10005,SCREW BARREL ASSY - 40-420,AS,In-house,NOS,NOS,1,5,0,2,2,1200,7,Sub-Assembly Area,NONE,NO,1.0,Standard AS specification
2000300400,B-10044,B-10044,OIL TANK ASSY - 90 TON - 250LTR,AS,In-house,NOS,NOS,1,5,0,2,2,1200,7,Sub-Assembly Area,NONE,NO,1.0,Standard AS specification
2000301300,B-10046,B-10046,OIL TANK ASSY - 110 TON - 300LTR,AS,In-house,NOS,NOS,1,5,0,2,2,1200,7,Sub-Assembly Area,NONE,NO,1.0,Standard AS specification
2000300500,,,SAFETY DOOR ASSY - 90,AS,In-house,NOS,NOS,1,5,0,2,2,1200,7,Sub-Assembly Area,NONE,NO,1.0,Standard AS specification
2000301400,B-10097,B-10097,SAFETY DOOR ASSY - 110 TON,AS,In-house,NOS,NOS,1,5,0,2,2,1200,7,Sub-Assembly Area,NONE,NO,1.0,Standard AS specification
2000300600,,,BASE FRAME GUARD SET - 90-280,AS,In-house,NOS,NOS,1,5,0,2,2,1200,7,Sub-Assembly Area,NONE,NO,1.0,Standard AS specification
2000301500,,,BASE FRAME GUARD SET - 110-420,AS,In-house,NOS,NOS,1,5,0,2,2,1200,7,Sub-Assembly Area,NONE,NO,1.0,Standard AS specification
2000300700,,,SEAMLESS PIPE SET - 90-280,AS,In-house,NOS,NOS,1,5,0,2,2,1200,7,Sub-Assembly Area,NONE,NO,1.0,Standard AS specification
2000301600,,,SEAMLESS PIPE SET - 110-420,AS,In-house,NOS,NOS,1,5,0,2,2,1200,7,Sub-Assembly Area,NONE,NO,1.0,Standard AS specification
2000300800,B-10064,B-10064,HEAT EXCHANGER ASSY - 90 TON,AS,In-house,NOS,NOS,1,5,0,2,2,1200,7,Sub-Assembly Area,NONE,NO,1.0,Standard AS specification
2000300900,,,HOPPER ASSY - 25KG,AS,In-house,NOS,NOS,1,5,0,2,2,1200,7,Sub-Assembly Area,NONE,NO,1.0,Standard AS specification
7000100100,,,FASTENER KIT MAIN MACHINE - 90-280,AS,In-house,NOS,NOS,1,5,0,2,2,1200,7,Sub-Assembly Area,NONE,NO,1.0,Standard AS specification
7000100600,,,FASTENER KIT MAIN MACHINE - 110-420,BOM,In-house,NOS,NOS,1,5,0,2,2,1200,7,Sub-Assembly Area,NONE,NO,1.0,Standard BOM specification
7000200100,,,NIPPLE KIT - 90-280,AS,In-house,NOS,NOS,1,5,0,2,2,1200,7,Sub-Assembly Area,NONE,NO,1.0,Standard AS specification
7000200200,,,NIPPLE KIT - 110-420,BOM,In-house,NOS,NOS,1,5,0,2,2,1200,7,Sub-Assembly Area,NONE,NO,1.0,Standard BOM specification
7000300100,,,HOSE PIPE KIT - 90-280,AS,In-house,NOS,NOS,1,5,0,2,2,1200,7,Sub-Assembly Area,NONE,NO,1.0,Standard AS specification
7000300200,,,HOSE PIPE KIT - 110-420,BOM,In-house,NOS,NOS,1,5,0,2,2,1200,7,Sub-Assembly Area,NONE,NO,1.0,Standard BOM specification
7000400100,E-10270,E-10270,LUBR PUMP SYSTEM,AS,In-house,NOS,NOS,1,5,0,2,2,1200,7,Sub-Assembly Area,NONE,NO,1.0,Standard AS specification
3000000400,A-10701,A-10701,SERVO PUMP HOSE NIPPLE ASSY - 64 LTR,FAS,In-house,NOS,NOS,1,5,0,2,2,1200,7,Sub-Assembly Area,MANDATORY,YES,1.0,Standard FAS specification
3000000500,A-10619,A-10619,PLC BOX FB ASSY - B&R,FAS,In-house,NOS,NOS,1,5,0,2,2,1200,7,Sub-Assembly Area,MANDATORY,YES,1.0,Standard FAS specification
3000000600,A-10620,A-10620,LOCKING UNIT JUNCTION BOX OP FB ASSY,FAS,In-house,NOS,NOS,1,5,0,2,2,1200,7,Sub-Assembly Area,MANDATORY,YES,1.0,Standard FAS specification
3000000700,A-10920,A-10920,LOCKING UNIT JUNCTION BOX NOP FB ASSY,FAS,In-house,NOS,NOS,1,5,0,2,2,1200,7,Sub-Assembly Area,MANDATORY,YES,1.0,Standard FAS specification
3000000800,A-10616,A-10616,HEATER WIRE JUNCTION BOX FB ASSY,FAS,In-house,NOS,NOS,1,5,0,2,2,1200,7,Sub-Assembly Area,MANDATORY,YES,1.0,Standard FAS specification
3000000900,A-10704,A-10704,HYDRO MOTOR PIPE CLAMP MTG FB ASSY-280,FAS,In-house,NOS,NOS,1,5,0,2,2,1200,7,Sub-Assembly Area,MANDATORY,YES,1.0,Standard FAS specification
3000002300,A-10726,A-10726,HYDRO MOTOR PIPE CLAMP MTG -420,BOM,In-house,NOS,NOS,1,5,0,2,2,1200,7,Sub-Assembly Area,NONE,NO,1.0,Standard BOM specification
3000001000,A-10347,A-10347,LOCKING UNIT LINEAR MTG BRACKET - 90 TON,FAS,In-house,NOS,NOS,1,5,0,2,2,1200,7,Sub-Assembly Area,MANDATORY,YES,1.0,Standard FAS specification
